,Age,MaritalStatus,Occupation,WeeklyWorkingHours,WorkLifeBalance,EducationLevel,InvestmentOutcome,Income
5368,45,0,6,40,0,3,2,0
23919,23,1,4,40,1,1,2,0
14875,27,1,3,60,1,3,2,0
8972,54,0,5,35,2,1,2,0
28580,23,1,6,38,0,3,2,0
24709,45,1,1,60,0,1,2,0
10010,39,0,1,65,1,1,2,0
3961,65,0,1,40,0,1,3,0
3145,32,0,1,55,0,1,4,0
26594,60,0,4,50,0,1,2,0
25844,21,1,1,40,0,1,2,0
30619,30,1,5,40,0,1,2,0
16646,34,1,6,60,0,1,2,1
18171,41,0,6,50,0,2,2,1
21502,58,1,0,40,0,1,2,0
28019,52,0,1,45,0,0,2,0
14461,35,1,1,40,1,1,2,0
27442,36,1,1,40,1,1,2,0
14124,36,0,0,35,2,1,2,0
19419,23,1,1,40,2,1,2,0
15332,28,0,0,40,0,1,2,0
27089,60,0,1,40,0,1,2,0
12728,21,1,4,40,0,2,2,0
18569,52,1,1,40,1,2,2,0
20972,32,1,3,40,0,1,2,0
11357,45,1,4,35,1,1,2,0
16171,45,0,1,44,0,1,2,1
4200,43,1,1,16,0,1,3,0
19518,32,0,0,50,1,1,2,0
111,67,1,6,40,1,3,0,1
6703,25,1,3,30,1,3,2,0
23417,39,1,3,60,2,4,2,0
30894,45,0,1,40,1,1,2,1
20988,40,0,6,40,0,3,2,1
20323,28,1,1,40,0,1,2,0
31701,21,1,4,20,0,1,2,0
25935,56,1,5,40,1,1,2,0
30207,52,1,5,16,0,0,2,0
1018,35,1,1,60,1,1,0,0
20103,45,0,6,32,1,3,2,0
15619,50,0,4,40,1,1,2,0
29388,41,0,4,50,2,1,2,1
21027,51,1,0,40,1,1,2,0
26004,19,1,1,35,1,1,2,0
12147,66,1,4,20,2,1,2,0
7261,23,1,0,40,1,1,2,0
19634,42,0,1,35,1,0,2,0
24808,18,1,4,25,1,1,2,0
19837,37,0,4,45,1,5,2,1
24256,28,0,1,50,1,1,2,0
22781,45,0,1,45,1,1,2,1
14020,36,1,4,40,2,2,2,0
31326,31,0,1,40,1,1,2,0
13880,31,0,0,40,1,3,2,1
2502,39,0,3,38,0,4,4,1
23454,47,1,4,25,1,2,2,0
24324,49,1,6,40,1,3,2,0
22256,31,1,1,60,1,0,2,0
9423,32,1,1,35,1,1,2,0
9405,59,0,1,40,2,0,2,0
2787,36,0,1,40,1,1,4,1
17381,44,1,4,45,1,1,2,1
10478,20,1,4,30,0,1,2,0
15528,64,1,0,24,0,1,2,0
19126,25,0,3,40,1,3,2,0
24145,28,1,5,48,1,3,2,1
12329,49,0,1,50,0,3,2,0
3793,25,1,1,40,0,0,3,0
31330,50,0,1,40,1,1,2,1
23362,23,0,5,50,1,1,2,0
3494,44,1,4,50,1,1,3,0
30893,29,0,5,42,1,1,2,0
4695,39,0,5,50,2,0,2,0
31550,35,1,0,40,0,1,2,0
2560,55,0,1,40,0,1,4,1
10354,22,1,1,20,1,2,2,0
12412,30,1,4,52,0,2,2,0
9684,31,1,4,30,1,1,2,0
20477,29,1,3,40,1,3,2,0
13779,51,0,6,25,1,3,2,0
29153,46,1,1,40,1,0,2,0
21335,21,1,5,40,1,1,2,0
2255,37,1,3,40,2,3,4,1
24006,36,0,5,40,2,1,2,0
9683,55,0,1,40,1,1,2,0
12824,31,0,0,50,1,1,2,0
14881,44,0,1,40,1,3,2,0
11714,22,1,1,40,2,1,2,0
445,53,0,6,40,2,4,0,1
6993,39,0,1,40,1,1,2,1
24538,23,1,0,36,2,2,2,0
16591,56,0,4,50,1,1,2,1
2340,64,1,1,40,1,1,4,1
22264,20,1,0,20,2,1,2,0
27820,63,1,1,40,1,0,2,0
2989,45,1,3,38,2,2,4,0
31881,26,1,1,40,1,1,2,0
11818,41,0,1,40,1,1,2,0
11188,47,0,1,20,1,1,2,1
18765,23,1,0,24,0,1,2,0
18428,52,0,6,48,1,3,2,1
22127,43,0,3,21,1,3,2,0
23708,31,0,1,55,1,1,2,0
29325,56,0,1,40,2,0,2,0
4892,32,1,5,42,2,0,2,0
25615,26,1,5,35,2,3,2,0
29846,54,1,5,42,2,1,2,1
25816,56,1,3,45,1,3,2,0
25309,37,1,5,40,2,1,2,0
15639,43,0,6,40,1,4,2,1
12430,64,0,1,40,0,0,2,0
4712,72,1,0,40,2,0,2,0
13204,33,0,1,35,2,1,2,0
9571,44,0,1,45,1,1,2,0
11141,24,1,5,40,2,0,2,0
30476,36,1,1,50,1,2,2,0
10359,50,1,0,35,0,1,2,0
4313,37,1,1,40,2,1,2,0
20639,36,1,5,20,2,0,2,0
1778,69,1,1,40,1,1,4,1
31282,22,1,1,40,1,1,2,0
18095,37,1,1,40,1,3,2,0
20014,31,0,0,50,2,1,2,0
23433,34,0,1,40,1,1,2,0
23315,63,0,1,40,1,0,2,0
19230,35,0,6,35,1,3,2,1
16663,51,0,1,35,1,1,2,1
26676,33,0,6,40,0,3,2,1
3243,23,1,1,50,2,1,3,0
9823,54,1,1,48,0,1,2,0
23925,20,1,5,40,1,1,2,0
15693,45,0,1,40,1,1,2,1
21968,47,0,6,40,1,1,2,1
32224,43,0,5,55,1,3,2,1
10449,36,1,4,60,1,1,2,1
31984,55,1,5,40,0,0,2,0
12096,32,1,6,35,2,2,2,0
2398,47,0,1,55,1,1,4,1
6791,38,0,6,44,1,1,2,1
1207,42,0,0,40,1,1,0,0
11635,23,1,0,40,1,1,2,0
28810,47,0,1,40,1,1,2,0
29166,45,0,3,50,1,5,2,1
6933,43,0,1,40,1,1,2,0
5031,25,1,1,40,0,1,2,0
20402,73,0,1,40,1,1,2,0
22710,32,0,5,40,0,1,2,0
26722,36,0,4,50,1,3,2,1
10918,34,0,3,45,1,6,2,1
7463,29,1,3,30,1,1,2,0
29966,38,0,4,60,1,1,2,0
25640,52,1,4,25,1,1,2,0
25261,41,0,5,40,0,2,2,0
28118,27,1,1,45,1,0,2,0
11084,51,0,4,40,0,3,2,1
7978,25,1,1,40,0,3,2,0
24600,17,1,1,20,2,0,2,0
32511,38,0,1,55,1,2,2,1
29171,46,1,1,30,0,0,2,0
24137,25,1,1,40,1,1,2,0
8804,31,0,0,20,0,1,2,1
6731,29,1,3,40,1,4,2,0
26661,17,1,0,40,2,0,2,0
20829,51,0,1,40,2,0,2,0
14390,56,0,4,50,1,1,2,0
10205,73,0,1,18,0,0,2,0
18477,61,0,5,40,1,0,2,0
2619,41,0,1,38,2,1,4,1
10489,28,1,5,45,1,3,2,0
10678,23,1,5,40,2,3,2,0
18128,55,1,3,40,2,3,2,0
31639,38,0,1,40,1,0,2,0
21539,46,1,1,54,0,1,2,0
5569,17,1,1,24,1,0,2,0
30039,33,0,3,40,0,2,2,0
13418,30,1,4,55,1,5,2,0
20210,29,1,5,36,1,1,2,0
27722,22,1,0,20,1,3,2,0
26434,30,1,0,40,1,1,2,0
28856,40,0,5,42,2,2,2,1
14016,31,0,1,40,2,2,2,1
21452,40,1,0,35,2,1,2,0
17716,36,0,1,40,1,1,2,0
31513,67,0,1,40,0,0,2,0
3677,41,0,1,40,1,1,3,1
4993,49,1,1,40,2,0,2,0
32475,39,1,6,65,1,1,2,0
18347,31,1,1,40,1,1,2,0
9655,33,0,3,40,1,2,2,0
29822,69,1,4,25,1,2,2,0
2292,42,1,0,45,1,3,4,1
24717,31,0,3,40,0,3,2,1
29965,33,1,6,40,2,3,2,0
14013,29,0,1,40,2,0,2,0
24682,56,1,0,40,0,1,2,0
24194,47,0,3,40,1,4,2,1
20757,40,1,1,32,1,1,2,0
652,44,0,6,50,2,3,0,1
8478,18,1,6,20,1,0,2,0
15577,58,1,6,40,0,1,2,0
6961,41,0,0,50,1,5,2,1
17839,29,1,5,40,2,3,2,0
5714,40,0,6,42,0,1,2,1
685,49,0,6,60,1,1,0,1
1565,30,0,1,40,1,1,4,1
10527,36,1,0,40,1,3,2,0
25464,43,1,0,40,2,1,2,0
22721,30,0,6,50,1,1,2,0
32040,24,1,1,40,1,1,2,0
25442,28,1,1,40,2,3,2,1
8386,25,0,1,40,1,1,2,0
19811,40,0,5,45,1,1,2,0
5694,24,0,1,40,2,1,2,0
13878,69,0,1,20,0,0,2,0
29968,44,1,1,50,1,1,2,0
12977,29,1,5,40,1,2,2,0
10607,33,1,0,50,1,1,2,0
24047,26,1,0,40,1,1,2,0
6989,28,1,5,35,1,1,2,0
15059,31,1,4,45,1,3,2,0
12761,50,0,1,50,2,1,2,0
27012,59,1,3,50,0,2,2,1
26395,35,0,6,40,1,2,2,0
32440,20,1,1,40,1,1,2,0
6694,17,1,1,40,1,0,2,0
28487,19,1,1,50,1,1,2,0
16245,36,1,3,40,2,3,2,0
21430,34,1,5,40,1,1,2,0
23640,35,0,1,50,0,1,2,0
13421,38,1,1,40,0,1,2,0
22621,42,1,3,50,1,3,2,0
32469,62,1,0,32,1,1,2,0
28503,33,0,4,25,1,1,2,0
15838,34,0,5,40,1,1,2,1
24973,29,1,5,40,0,0,2,0
392,37,0,6,50,1,3,0,1
22835,57,1,1,40,2,1,2,0
20347,27,0,6,50,1,1,2,0
3087,45,0,1,40,1,1,4,1
25209,42,1,1,33,1,3,2,0
2350,39,1,1,50,0,1,4,1
24358,51,1,1,40,0,1,2,0
7325,63,0,1,40,0,1,2,1
6840,49,1,6,40,1,1,2,0
29287,21,1,5,32,0,1,2,0
28747,27,0,5,40,1,1,2,0
16638,21,1,5,18,1,2,2,0
4414,60,0,1,40,0,1,2,0
8476,38,1,0,40,1,1,2,0
24694,49,0,6,46,2,1,2,0
23116,26,1,0,40,1,1,2,0
23358,28,1,5,30,2,1,2,0
11490,21,1,1,40,0,1,2,0
21924,26,1,1,40,1,3,2,0
21671,34,0,1,40,0,1,2,0
19064,30,0,5,40,1,1,2,0
7207,46,0,1,40,0,1,2,1
1628,65,0,6,40,1,3,4,1
26867,58,1,0,40,0,2,2,0
22976,23,1,3,40,0,3,2,0
23710,19,1,5,27,1,1,2,0
2333,43,1,5,47,2,4,4,1
3701,26,0,5,40,1,1,3,1
22007,35,0,1,35,1,1,2,0
26408,25,1,6,40,1,3,2,0
30085,38,0,1,40,1,2,2,0
21252,30,1,4,40,1,3,2,0
13875,17,1,5,20,2,0,2,0
20442,25,1,5,35,0,1,2,0
3578,47,1,6,45,1,1,3,0
19231,56,0,5,45,1,1,2,1
13502,18,1,3,40,0,1,2,0
14312,19,1,0,25,1,1,2,0
9437,35,1,5,35,1,1,2,0
13887,30,0,5,40,1,1,2,1
28574,35,1,1,40,0,1,2,0
17076,32,1,1,40,1,1,2,0
14123,56,0,6,40,1,3,2,0
17899,33,1,5,24,1,1,2,0
19637,50,0,5,40,1,1,2,1
19259,64,1,5,40,2,3,2,0
12308,33,1,6,40,0,3,2,0
25766,31,1,4,40,2,1,2,0
11229,33,1,3,26,1,2,2,0
14466,33,0,1,45,1,1,2,0
27231,37,0,4,50,0,3,2,1
31623,35,0,5,40,1,1,2,0
13195,19,1,1,20,1,1,2,0
32037,33,1,6,40,1,0,2,0
1889,55,0,4,50,1,3,4,1
15416,32,0,1,40,1,0,2,0
27438,24,1,5,38,1,2,2,0
19069,32,0,4,42,1,3,2,1
16243,23,0,4,40,2,1,2,0
23384,19,1,1,35,2,1,2,0
22405,22,1,3,40,0,1,2,0
23798,24,1,1,40,1,1,2,0
11628,33,0,5,48,1,2,2,1
18761,46,0,1,40,2,1,2,1
20307,21,1,4,40,1,1,2,0
15987,20,1,5,24,1,1,2,0
9495,31,0,4,55,1,3,2,0
22842,26,1,0,20,2,1,2,0
8604,42,1,0,30,1,1,2,0
12236,22,1,5,40,2,1,2,0
28755,41,0,6,50,2,1,2,0
4310,30,1,4,40,0,0,2,0
5193,37,1,0,38,1,3,2,0
29202,51,0,4,60,2,2,2,0
30516,21,0,1,40,0,2,2,0
14531,42,0,3,40,2,3,2,1
19853,52,1,1,40,1,0,2,0
4805,43,0,1,40,0,1,2,1
19053,41,0,0,45,1,1,2,1
12432,46,1,5,43,1,1,2,0
26686,27,1,1,45,1,2,2,0
15276,48,0,4,40,1,1,2,1
5844,23,1,1,35,0,3,2,0
26981,28,1,1,50,2,1,2,0
2972,62,0,1,40,0,1,4,1
2386,62,0,3,40,1,6,4,1
6106,51,0,1,40,1,0,2,0
19286,22,1,4,30,0,1,2,0
3359,31,1,4,50,1,3,3,0
8853,28,1,0,40,0,2,2,0
18826,26,1,3,38,1,3,2,0
31747,41,0,6,40,2,3,2,0
17162,72,1,1,30,0,2,2,0
20915,67,0,1,49,0,0,2,0
21875,24,1,1,40,0,1,2,0
22374,53,1,0,50,2,1,2,1
9667,42,1,4,40,1,1,2,0
24508,34,1,1,40,0,1,2,0
23411,25,1,1,40,1,1,2,0
30614,21,1,4,20,1,1,2,0
9067,27,1,1,40,2,1,2,0
29516,43,1,4,50,1,3,2,1
29200,32,1,1,40,0,0,2,0
14997,19,1,4,25,0,1,2,0
6076,54,1,3,38,2,4,2,0
22524,43,1,3,45,1,3,2,1
7165,50,1,6,40,0,3,2,0
11970,39,1,0,20,1,1,2,0
21931,69,0,1,25,0,5,2,0
4294,31,1,4,40,1,3,2,0
11668,42,0,1,40,2,1,2,0
24177,19,1,4,20,2,1,2,0
28121,34,0,3,40,2,2,2,1
11298,23,0,1,50,1,0,2,0
15982,45,0,1,40,2,1,2,1
27713,42,0,1,40,1,0,2,0
1876,30,0,6,60,0,1,4,1
10404,43,0,3,40,2,3,2,1
29876,18,1,1,25,2,0,2,0
11092,25,1,6,20,0,3,2,0
7135,57,0,4,40,1,3,2,1
30244,40,1,6,50,2,1,2,0
626,54,0,6,55,2,1,0,1
24286,31,1,1,20,1,1,2,0
6647,25,0,0,40,1,2,2,0
24579,30,1,6,40,0,3,2,0
5349,58,0,1,40,0,0,2,0
28388,35,1,5,35,0,2,2,0
17812,51,0,5,40,0,1,2,1
2467,37,0,0,40,1,1,4,1
20682,26,1,3,40,0,3,2,0
6589,32,0,1,40,0,1,2,1
8407,31,1,5,40,0,0,2,0
25959,24,1,1,40,1,0,2,0
17768,48,1,6,40,2,1,2,0
29459,46,0,1,40,1,1,2,1
4283,41,0,0,48,0,1,2,0
32044,29,1,5,52,2,1,2,0
9486,33,1,5,40,1,2,2,0
29400,61,1,1,45,2,1,2,1
6908,18,1,4,35,1,0,2,0
7562,60,0,1,40,1,1,2,0
1078,39,1,1,40,0,1,0,0
22592,24,1,3,20,0,3,2,0
1642,29,1,3,60,1,5,4,1
522,26,1,0,40,1,1,0,0
21589,59,0,1,40,1,0,2,0
751,38,0,6,50,0,3,0,1
2880,37,0,6,40,1,3,4,1
4628,54,0,1,40,1,1,2,0
11909,54,0,5,52,1,1,2,0
12764,44,0,3,40,2,4,2,1
28723,36,1,1,55,1,1,2,0
28313,39,0,1,40,0,1,2,0
25899,48,0,4,40,0,1,2,0
31709,37,0,0,40,1,2,2,0
21593,48,0,1,40,1,1,2,0
29677,41,1,1,40,1,1,2,0
619,50,0,3,45,0,6,0,1
11085,52,0,1,50,1,1,2,0
30783,27,0,6,40,2,1,2,1
7117,79,1,1,30,1,1,2,0
5245,50,1,5,40,0,0,2,0
12669,44,0,1,40,0,2,2,0
4208,19,1,0,20,1,1,3,0
21069,25,1,4,40,1,1,2,0
10785,24,1,4,40,1,0,2,0
4558,38,0,4,50,0,1,2,0
10933,58,0,3,58,1,3,2,0
31054,42,0,6,40,1,3,2,1
18045,26,1,0,40,0,1,2,0
8171,22,1,1,30,0,0,2,0
1743,68,0,3,55,2,6,4,1
30282,40,1,4,40,2,1,2,0
10825,28,0,1,40,2,1,2,0
27952,25,1,1,40,2,1,2,0
3746,29,0,4,45,2,3,3,1
25067,22,1,5,30,1,0,2,0
31662,40,0,1,40,1,1,2,1
1692,25,1,1,50,1,3,4,1
21195,76,0,1,30,1,3,2,0
26406,41,0,4,48,1,3,2,1
22838,60,0,1,40,2,0,2,0
19846,53,0,5,60,2,1,2,0
30656,42,1,3,40,2,4,2,0
6655,27,1,4,40,0,3,2,0
15574,38,1,3,40,1,3,2,0
29016,32,0,1,40,0,0,2,0
23894,45,0,1,40,1,1,2,0
13107,59,0,3,36,1,1,2,1
15891,47,0,3,50,0,3,2,1
2258,38,1,1,50,0,2,4,1
7840,54,0,4,65,0,0,2,0
15741,41,0,3,45,1,3,2,1
26647,24,1,1,20,1,1,2,0
29161,23,1,5,20,1,3,2,0
20415,33,1,4,40,1,0,2,0
3684,62,0,3,40,0,3,3,1
30982,58,0,6,40,2,1,2,1
7950,47,0,4,40,1,1,2,0
10827,19,1,0,25,1,1,2,0
3830,29,0,0,40,1,1,3,0
2145,41,1,1,40,0,1,4,1
13505,20,1,5,25,2,1,2,0
16710,36,0,3,40,2,3,2,1
11228,24,1,5,45,1,1,2,0
16390,52,0,1,40,1,1,2,0
12145,39,0,0,40,0,2,2,1
21094,34,1,5,40,1,1,2,0
12611,30,1,4,25,0,1,2,0
12908,19,1,5,20,1,1,2,0
18143,26,0,1,40,1,1,2,0
14879,36,1,3,40,1,4,2,0
10734,83,1,5,55,1,1,2,0
22993,37,0,4,60,1,0,2,0
5938,31,1,6,40,2,3,2,0
5204,20,1,0,40,1,2,2,0
26946,24,1,4,40,0,1,2,0
33,51,1,6,50,0,3,0,1
741,38,0,3,40,1,3,0,1
6456,52,0,1,60,0,1,2,1
673,46,0,3,45,1,5,0,1
11386,35,0,6,45,1,3,2,1
8842,52,0,5,40,1,2,2,1
25988,43,0,5,40,2,2,2,0
5090,41,1,1,35,1,1,2,0
16466,25,1,0,40,2,1,2,0
32301,24,1,3,20,1,2,2,0
26764,50,1,3,40,2,3,2,0
11052,28,1,6,50,2,1,2,0
1050,35,0,4,40,0,1,0,0
14998,44,0,3,60,1,4,2,1
13409,20,1,1,40,1,1,2,0
4907,43,0,1,40,0,1,2,0
23348,27,1,3,50,1,3,2,0
4057,27,1,5,40,2,1,3,0
18337,41,1,3,20,0,3,2,0
19096,51,1,1,40,0,0,2,0
11181,27,1,1,50,0,0,2,0
20707,32,0,1,37,0,1,2,0
8168,33,1,0,40,1,1,2,0
12528,19,1,5,30,2,1,2,0
8555,28,1,1,40,1,1,2,0
7771,23,1,0,40,1,1,2,0
22950,23,1,1,40,1,1,2,0
1442,35,1,1,40,0,1,0,0
3460,58,0,5,40,1,1,3,0
22464,38,1,1,40,2,1,2,0
30129,21,1,1,35,1,1,2,0
6580,26,1,6,40,1,1,2,0
32452,23,1,3,40,2,3,2,0
3591,31,1,6,40,1,1,3,0
3509,39,0,4,40,0,3,3,0
29218,33,0,4,40,0,1,2,0
24302,47,1,0,40,1,1,2,0
12091,28,1,5,48,0,1,2,0
14684,56,0,5,35,1,0,2,1
15783,34,0,3,55,1,5,2,1
7338,19,1,0,20,1,1,2,0
27047,26,1,0,42,1,3,2,0
15580,24,0,4,40,0,1,2,0
12481,38,0,1,40,1,1,2,0
6099,47,0,4,40,0,1,2,0
26957,42,1,3,40,1,4,2,0
13932,29,0,3,55,2,4,2,1
30172,32,0,1,40,1,1,2,0
24417,34,0,5,40,1,1,2,0
19988,20,1,1,20,1,1,2,0
30864,37,1,1,40,2,1,2,0
25852,21,1,5,40,1,1,2,0
24121,29,1,5,38,1,1,2,0
2660,41,1,1,40,2,1,4,0
13972,38,1,6,60,1,2,2,0
24565,17,1,1,40,0,0,2,0
5875,39,1,1,48,1,1,2,0
15688,36,0,1,40,1,1,2,0
6403,54,1,1,40,1,4,2,0
6651,41,1,5,30,1,1,2,0
11587,40,0,3,40,2,5,2,0
31686,28,1,1,40,2,1,2,0
11664,26,0,1,45,0,1,2,0
1285,29,1,3,40,2,3,0,0
29792,56,1,5,48,1,1,2,0
29817,22,1,1,40,1,1,2,0
1818,44,0,6,50,2,3,4,1
25716,19,1,0,40,1,1,2,0
1835,52,0,4,50,1,1,4,1
22802,35,0,5,61,2,1,2,1
11674,28,0,1,40,0,1,2,0
32033,21,1,0,40,1,0,2,0
4446,41,0,3,40,2,5,2,1
25506,42,1,3,50,0,6,2,0
16846,34,1,5,40,1,2,2,0
26200,38,0,1,40,2,1,2,0
24359,34,1,5,40,0,1,2,0
19534,50,1,5,40,2,0,2,0
21822,45,0,0,40,2,1,2,0
7068,29,1,5,25,1,0,2,0
17283,36,1,3,35,1,3,2,1
1724,37,1,0,25,0,1,4,1
20644,53,1,5,40,1,1,2,0
12414,26,1,3,20,1,5,2,0
29503,20,1,4,40,1,1,2,0
12067,40,0,5,40,2,1,2,0
3196,51,1,0,24,1,1,3,1
32012,47,1,1,60,1,1,2,0
3168,40,1,1,47,1,1,3,1
25358,61,0,1,40,1,0,2,0
4897,26,1,1,38,1,1,2,0
21057,33,0,1,40,2,1,2,0
21668,22,1,1,25,1,1,2,0
24068,53,1,6,40,0,1,2,0
133,65,0,1,40,0,3,0,1
10893,40,1,6,50,2,3,2,0
27085,43,0,1,60,2,1,2,0
10189,27,1,0,40,1,1,2,0
2642,44,0,4,50,2,3,4,1
15123,33,1,0,40,1,1,2,0
32549,43,0,1,40,1,1,2,0
25651,35,0,6,50,2,3,2,1
30872,63,1,6,50,2,1,2,1
24161,32,1,1,40,1,0,2,0
729,57,0,4,40,1,6,0,1
3178,26,1,3,35,1,3,3,0
18410,50,0,1,40,0,1,2,1
21424,33,1,3,50,1,3,2,1
10588,38,0,6,40,2,1,2,1
9819,19,1,5,40,2,1,2,0
9991,46,1,3,40,0,2,2,0
30846,34,0,1,40,0,0,2,0
15458,27,1,1,40,1,1,2,0
30630,23,0,1,48,0,1,2,0
31527,35,0,1,40,1,1,2,0
12914,33,0,6,55,1,3,2,0
30029,23,1,0,30,1,1,2,0
12695,28,1,1,40,1,1,2,0
32513,45,1,5,38,0,0,2,0
28797,39,0,3,50,0,6,2,1
28830,44,1,1,40,0,1,2,0
10559,37,0,3,35,1,6,2,0
12982,35,1,1,40,1,1,2,0
6563,18,1,5,20,2,0,2,0
888,36,0,1,40,1,1,0,1
20773,31,1,1,40,0,0,2,0
6968,43,0,4,60,1,4,2,0
26523,59,0,1,40,1,1,2,0
27509,49,0,3,60,1,3,2,0
450,26,0,3,40,2,5,0,1
15466,45,0,6,40,2,1,2,1
7328,27,1,3,65,1,5,2,1
20259,19,1,5,30,1,1,2,0
6928,25,1,6,55,2,3,2,0
11943,30,0,1,40,2,1,2,0
20212,24,1,4,35,0,1,2,0
24723,23,1,3,36,1,2,2,0
17971,18,1,1,40,1,1,2,0
8995,60,1,3,40,0,4,2,0
8165,31,0,3,40,1,3,2,1
15430,50,0,1,30,1,1,2,0
1530,26,0,3,60,1,5,4,1
14725,37,1,5,33,1,0,2,0
11590,63,1,0,40,0,3,2,0
11241,27,1,1,40,1,1,2,0
19130,67,1,4,32,2,1,2,0
26466,41,1,5,40,1,1,2,0
26105,45,0,1,40,0,1,2,0
6953,33,1,3,42,1,5,2,1
271,43,0,1,40,1,0,0,0
21493,42,0,1,35,2,1,2,0
17905,34,0,6,55,0,1,2,0
4878,22,1,3,20,1,3,2,0
31930,53,1,4,60,1,1,2,0
29864,32,1,6,40,0,1,2,0
4668,25,1,4,40,1,3,2,0
5814,21,1,1,40,1,1,2,0
13936,18,1,1,24,2,0,2,0
7124,27,1,0,40,2,2,2,0
10856,35,1,5,35,1,1,2,0
11800,32,1,3,60,1,4,2,0
25055,43,1,1,40,2,1,2,0
31205,35,0,4,40,1,4,2,1
4560,25,0,1,40,2,1,2,0
6234,26,0,4,40,2,3,2,1
25002,49,1,5,45,2,1,2,0
10793,37,1,5,40,0,1,2,0
21378,43,1,5,20,1,1,2,0
21741,32,0,1,40,0,0,2,0
19763,57,0,6,60,1,1,2,1
20749,44,1,1,40,2,1,2,0
9290,54,0,1,40,1,1,2,0
9747,46,0,0,40,2,1,2,1
19948,45,0,1,40,2,0,2,0
17807,33,1,1,40,1,2,2,0
25710,36,1,0,35,1,1,2,0
18117,31,0,1,40,1,1,2,0
24945,33,1,6,40,1,1,2,0
20730,33,0,4,20,0,1,2,0
8647,25,1,1,40,2,2,2,0
15026,27,1,5,40,1,3,2,0
28662,30,1,5,32,1,1,2,0
29107,49,0,1,40,1,0,2,0
25100,23,1,1,44,0,0,2,0
8393,59,0,1,30,1,1,2,0
17657,46,0,6,40,1,3,2,1
1272,35,1,5,40,1,1,0,0
13416,78,0,1,60,1,0,2,0
32354,24,0,1,40,2,0,2,0
8185,29,1,5,40,1,1,2,0
13508,36,0,1,40,0,1,2,0
20243,51,0,6,40,0,3,2,1
13640,34,1,0,40,1,1,2,0
17725,58,0,3,45,1,5,2,1
27849,25,1,1,45,0,1,2,0
21782,36,0,6,45,1,4,2,1
23999,76,0,5,30,1,0,2,0
19308,27,1,6,50,1,3,2,0
29908,36,1,3,40,1,1,2,0
24231,54,0,1,40,0,0,2,0
