id,user_id,source,action,created_at,datapoint_count_new,datapoint_count,prediction,true_label,confidence_level,feedback,question,question_id,message,buttonType,user_comment,user_question,feature_id
17959,participant_0043,intro-test,handleNext,2024-04-15 12:25:47.003964,3.0,,,,,,,,,,,,
17967,participant_0043,intro-test,user_prediction,2024-04-15 12:26:03.801672,,3.0,under 50k,over 50k,3,,,,,,,,
17969,participant_0043,intro-test,handleNext,2024-04-15 12:26:03.934654,4.0,,,,,,,,,,,,
17989,participant_0043,intro-test,handleNext,2024-04-15 12:26:38.879401,5.0,,,,,,,,,,,,
18001,participant_0043,intro-test,user_prediction,2024-04-15 12:26:53.901738,,5.0,under 50k,under 50k,3,,,,,,,,
18026,participant_0043,intro-test,handleNext,2024-04-15 12:27:21.124652,7.0,,,,,,,,,,,,
18040,participant_0043,intro-test,user_prediction,2024-04-15 12:27:40.816879,,7.0,under 50k,under 50k,3,,,,,,,,
17988,participant_0043,intro-test,user_prediction,2024-04-15 12:26:38.770282,,4.0,under 50k,under 50k,3,,,,,,,,
18002,participant_0043,intro-test,handleNext,2024-04-15 12:26:54.001622,6.0,,,,,,,,,,,,
18025,participant_0043,intro-test,user_prediction,2024-04-15 12:27:21.001658,,6.0,over 50k,over 50k,3,,,,,,,,
18045,participant_0043,intro-test,handleNext,2024-04-15 12:27:44.241419,8.0,,,,,,,,,,,,
18069,participant_0043,intro-test,handleNext,2024-04-15 12:28:03.123156,9.0,,,,,,,,,,,,
18068,participant_0043,intro-test,user_prediction,2024-04-15 12:28:03.024544,,8.0,under 50k,under 50k,4,,,,,,,,
18085,participant_0043,intro-test,handleNext,2024-04-15 12:28:19.331523,10.0,,,,,,,,,,,,
18119,participant_0043,intro-test,user_prediction,2024-04-15 12:28:57.472297,,10.0,under 50k,under 50k,3,,,,,,,,
18123,participant_0043,teaching,handleNext,2024-04-15 12:28:59.927428,1.0,,,,,,,,,,,,
18084,participant_0043,intro-test,user_prediction,2024-04-15 12:28:19.219034,,9.0,under 50k,under 50k,4,,,,,,,,
18214,participant_0043,teaching,user_prediction,2024-04-15 12:30:19.910940,,1.0,under 50k,under 50k,,,,,,,,,
18343,participant_0043,test,handleNext,2024-04-15 12:31:53.417575,1.0,,,,,,,,,,,,
18394,participant_0043,test,user_prediction,2024-04-15 12:32:19.984805,,1.0,over 50k,under 50k,,,,,,,,,
18397,participant_0043,teaching,handleNext,2024-04-15 12:32:22.563907,2.0,,,,,,,,,,,,
18536,participant_0043,teaching,handleNext,2024-04-15 12:33:41.058301,3.0,,,,,,,,,,,,
18550,participant_0043,teaching,user_prediction,2024-04-15 12:33:54.993733,,3.0,over 50k,over 50k,,,,,,,,,
18562,participant_0043,test,handleNext,2024-04-15 12:33:59.729916,3.0,,,,,,,,,,,,
18441,participant_0043,teaching,user_prediction,2024-04-15 12:32:43.628599,,2.0,over 50k,over 50k,,,,,,,,,
18511,participant_0043,test,handleNext,2024-04-15 12:33:27.589891,2.0,,,,,,,,,,,,
18526,participant_0043,test,user_prediction,2024-04-15 12:33:35.110996,,2.0,over 50k,under 50k,,,,,,,,,
18631,participant_0043,test,handleNext,2024-04-15 12:34:42.401926,4.0,,,,,,,,,,,,
18585,participant_0043,test,user_prediction,2024-04-15 12:34:13.336949,,3.0,over 50k,over 50k,,,,,,,,,
18594,participant_0043,teaching,handleNext,2024-04-15 12:34:17.612048,4.0,,,,,,,,,,,,
18623,participant_0043,teaching,user_prediction,2024-04-15 12:34:37.531912,,4.0,under 50k,under 50k,,,,,,,,,
18664,participant_0043,test,user_prediction,2024-04-15 12:34:56.998128,,4.0,under 50k,under 50k,,,,,,,,,
18688,participant_0043,teaching,handleNext,2024-04-15 12:35:06.256851,5.0,,,,,,,,,,,,
18702,participant_0043,teaching,user_prediction,2024-04-15 12:35:14.846892,,5.0,under 50k,under 50k,,,,,,,,,
18709,participant_0043,test,handleNext,2024-04-15 12:35:18.135415,5.0,,,,,,,,,,,,
19764,participant_0043,final-test,user_prediction,2024-04-15 12:49:52.441861,,8.0,under 50k,under 50k,4,only works 25 hours,,,,,,,
18746,participant_0043,test,user_prediction,2024-04-15 12:35:40.041133,,5.0,under 50k,under 50k,,,,,,,,,
18752,participant_0043,teaching,handleNext,2024-04-15 12:35:45.701255,6.0,,,,,,,,,,,,
18764,participant_0043,teaching,user_prediction,2024-04-15 12:35:53.265172,,6.0,over 50k,over 50k,,,,,,,,,
19786,participant_0043,final-test,user_prediction,2024-04-15 12:50:37.332563,,9.0,under 50k,under 50k,4,"the person has low education, is single and in an admin role",,,,,,,
18797,participant_0043,test,handleNext,2024-04-15 12:36:17.330362,6.0,,,,,,,,,,,,
18816,participant_0043,test,user_prediction,2024-04-15 12:36:31.584310,,6.0,under 50k,under 50k,,,,,,,,,
18820,participant_0043,teaching,handleNext,2024-04-15 12:36:34.161778,7.0,,,,,,,,,,,,
18837,participant_0043,teaching,user_prediction,2024-04-15 12:36:47.040238,,7.0,over 50k,under 50k,,,,,,,,,
18890,participant_0043,teaching,user_prediction,2024-04-15 12:37:29.626792,,7.0,under 50k,under 50k,,,,,,,,,
18950,participant_0043,teaching,user_prediction,2024-04-15 12:38:05.537655,,8.0,under 50k,under 50k,,,,,,,,,
18968,participant_0043,test,handleNext,2024-04-15 12:38:22.458533,8.0,,,,,,,,,,,,
18922,participant_0043,teaching,handleNext,2024-04-15 12:37:47.977364,8.0,,,,,,,,,,,,
18900,participant_0043,test,handleNext,2024-04-15 12:37:37.871409,7.0,,,,,,,,,,,,
18914,participant_0043,test,user_prediction,2024-04-15 12:37:45.410068,,7.0,over 50k,under 50k,,,,,,,,,
18991,participant_0043,test,user_prediction,2024-04-15 12:38:34.201032,,8.0,under 50k,over 50k,,,,,,,,,
18997,participant_0043,teaching,handleNext,2024-04-15 12:38:36.797399,9.0,,,,,,,,,,,,
19036,participant_0043,teaching,user_prediction,2024-04-15 12:39:02.622308,,9.0,under 50k,under 50k,,,,,,,,,
19044,participant_0043,test,handleNext,2024-04-15 12:39:10.195980,9.0,,,,,,,,,,,,
19130,participant_0043,test,user_prediction,2024-04-15 12:39:45.875016,,9.0,over 50k,under 50k,,,,,,,,,
19139,participant_0043,teaching,handleNext,2024-04-15 12:39:48.648613,10.0,,,,,,,,,,,,
19175,participant_0043,teaching,user_prediction,2024-04-15 12:40:06.839348,,10.0,over 50k,over 50k,,,,,,,,,
19228,participant_0043,test,handleNext,2024-04-15 12:40:40.759871,10.0,,,,,,,,,,,,
19167,participant_0043,teaching,user_prediction,2024-04-15 12:40:04.052233,,10.0,under 50k,over 50k,,,,,,,,,
19247,participant_0043,final-test,handleNext,2024-04-15 12:40:53.931511,1.0,,,,,,,,,,,,
19246,participant_0043,test,user_prediction,2024-04-15 12:40:53.710494,,10.0,over 50k,under 50k,,,,,,,,,
44583,participant_0024,teaching,user_prediction,2025-02-20 12:24:31.528125,,10.0,under 50k,under 50k,,,,,,,,,
43239,participant_0006,teaching,user_prediction,2025-02-20 11:56:22.280637,,1.0,over 50k,over 50k,,,,,,,,,
43240,participant_0069,intro-test,user_prediction,2025-02-20 11:56:33.258992,,4.0,over 50k,under 50k,2,,,,,,,,
43241,participant_0069,intro-test,handleNext,2025-02-20 11:56:34.151164,5.0,,,,,,,,,,,,
43242,participant_0006,teaching,question,2025-02-20 11:56:39.308945,,1.0,,,,,Which <b>group of attributes</b> is most important for <b>for this person</b>?,anchor,,,,,
43243,participant_0069,intro-test,user_prediction,2025-02-20 11:56:54.193220,,5.0,over 50k,over 50k,2,,,,,,,,
43244,participant_0069,intro-test,handleNext,2025-02-20 11:56:55.046802,6.0,,,,,,,,,,,,
43245,participant_0006,teaching,question,2025-02-20 11:56:55.280342,,1.0,,,,,What is the <b>strength</b> of each attribute for the <b>this model prediction</b>?,shapAllFeatures,,,,,
43246,participant_0069,intro-test,user_prediction,2025-02-20 11:57:11.347898,,6.0,over 50k,over 50k,2,,,,,,,,
43247,participant_0069,intro-test,handleNext,2025-02-20 11:57:12.244392,7.0,,,,,,,,,,,,
43248,participant_0006,teaching,question,2025-02-20 11:57:18.780261,,1.0,,,,,Which attributes have the <b>biggest</b> impact on the model’s prediction <b>for this person</b>?,top3Features,,,,,
43249,participant_0069,intro-test,user_prediction,2025-02-20 11:57:31.317897,,7.0,over 50k,over 50k,3,,,,,,,,
43250,participant_0069,intro-test,handleNext,2025-02-20 11:57:32.213059,8.0,,,,,,,,,,,,
43251,participant_0069,intro-test,user_prediction,2025-02-20 11:57:50.048181,,8.0,under 50k,under 50k,2,,,,,,,,
43252,participant_0069,intro-test,handleNext,2025-02-20 11:57:50.850407,9.0,,,,,,,,,,,,
43253,participant_0006,teaching,question,2025-02-20 11:58:13.349864,,1.0,,,,,Does the <b>prediction of the current person change</b> if only <b>Investment Outcome</b> was different?,ceterisParibus,,,,,
43254,participant_0069,intro-test,user_prediction,2025-02-20 11:58:14.750122,,9.0,under 50k,over 50k,1,,,,,,,,
43255,participant_0069,intro-test,handleNext,2025-02-20 11:58:15.500186,10.0,,,,,,,,,,,,
43256,participant_0069,intro-test,user_prediction,2025-02-20 11:58:23.334395,,10.0,under 50k,under 50k,2,,,,,,,,
43257,participant_0069,teaching,handleNext,2025-02-20 11:58:23.722627,1.0,,,,,,,,,,,,
43258,participant_0058,intro-test,user_prediction,2025-02-20 11:58:24.226064,,1.0,under 50k,over 50k,3,,,,,,,,
43259,participant_0058,intro-test,handleNext,2025-02-20 11:58:24.751443,2.0,,,,,,,,,,,,
43260,participant_0006,test,handleNext,2025-02-20 11:58:29.229002,1.0,,,,,,,,,,,,
43261,participant_0058,intro-test,user_prediction,2025-02-20 11:58:37.288047,,2.0,under 50k,under 50k,2,,,,,,,,
43262,participant_0058,intro-test,handleNext,2025-02-20 11:58:38.027511,3.0,,,,,,,,,,,,
43263,participant_0006,test,user_prediction,2025-02-20 11:58:44.952024,,1.0,over 50k,over 50k,,,,,,,,,
43264,participant_0006,teaching,handleNext,2025-02-20 11:58:45.076921,2.0,,,,,,,,,,,,
43265,participant_0088,intro-test,user_prediction,2025-02-20 11:58:49.523007,,1.0,over 50k,over 50k,1,,,,,,,,
43266,participant_0088,intro-test,handleNext,2025-02-20 11:58:50.043649,2.0,,,,,,,,,,,,
43267,participant_0058,intro-test,user_prediction,2025-02-20 11:58:55.387023,,3.0,over 50k,under 50k,2,,,,,,,,
43268,participant_0058,intro-test,handleNext,2025-02-20 11:58:55.916258,4.0,,,,,,,,,,,,
43269,participant_0088,intro-test,user_prediction,2025-02-20 11:58:56.491388,,2.0,under 50k,under 50k,3,,,,,,,,
43270,participant_0088,intro-test,handleNext,2025-02-20 11:58:56.973156,3.0,,,,,,,,,,,,
43271,participant_0006,teaching,user_prediction,2025-02-20 11:58:58.312681,,2.0,under 50k,under 50k,,,,,,,,,
45145,participant_0086,teaching,handleNext,2025-02-20 12:32:15.031732,2.0,,,,,,,,,,,,
43272,participant_0058,intro-test,user_prediction,2025-02-20 11:59:00.294576,,4.0,under 50k,under 50k,3,,,,,,,,
43273,participant_0058,intro-test,handleNext,2025-02-20 11:59:00.823537,5.0,,,,,,,,,,,,
43274,participant_0006,test,handleNext,2025-02-20 11:59:01.766484,2.0,,,,,,,,,,,,
43275,participant_0088,intro-test,user_prediction,2025-02-20 11:59:07.786258,,3.0,under 50k,under 50k,2,,,,,,,,
43276,participant_0088,intro-test,handleNext,2025-02-20 11:59:08.302134,4.0,,,,,,,,,,,,
43277,participant_0115,intro-test,user_prediction,2025-02-20 11:59:08.319745,,1.0,over 50k,over 50k,3,,,,,,,,
43278,participant_0115,intro-test,handleNext,2025-02-20 11:59:08.925637,2.0,,,,,,,,,,,,
43279,participant_0058,intro-test,user_prediction,2025-02-20 11:59:09.360226,,5.0,under 50k,over 50k,1,,,,,,,,
43280,participant_0058,intro-test,handleNext,2025-02-20 11:59:09.849590,6.0,,,,,,,,,,,,
43281,participant_0006,test,user_prediction,2025-02-20 11:59:10.780611,,2.0,under 50k,over 50k,,,,,,,,,
43282,participant_0006,teaching,handleNext,2025-02-20 11:59:10.901689,3.0,,,,,,,,,,,,
43283,participant_0088,intro-test,user_prediction,2025-02-20 11:59:14.770602,,4.0,under 50k,under 50k,3,,,,,,,,
43284,participant_0088,intro-test,handleNext,2025-02-20 11:59:15.293681,5.0,,,,,,,,,,,,
43285,participant_0006,teaching,user_prediction,2025-02-20 11:59:20.651180,,3.0,under 50k,under 50k,,,,,,,,,
43286,participant_0069,teaching,user_prediction,2025-02-20 11:59:23.423302,,1.0,under 50k,over 50k,,,,,,,,,
43287,participant_0006,test,handleNext,2025-02-20 11:59:23.566690,3.0,,,,,,,,,,,,
43288,participant_0006,test,user_prediction,2025-02-20 11:59:28.642658,,3.0,over 50k,under 50k,,,,,,,,,
43289,participant_0006,teaching,handleNext,2025-02-20 11:59:28.763180,4.0,,,,,,,,,,,,
43290,participant_0088,intro-test,user_prediction,2025-02-20 11:59:29.723103,,5.0,over 50k,over 50k,2,,,,,,,,
43291,participant_0058,intro-test,user_prediction,2025-02-20 11:59:30.073044,,6.0,under 50k,over 50k,2,,,,,,,,
43292,participant_0088,intro-test,handleNext,2025-02-20 11:59:30.240621,6.0,,,,,,,,,,,,
43293,participant_0058,intro-test,handleNext,2025-02-20 11:59:30.700419,7.0,,,,,,,,,,,,
43294,participant_0006,teaching,user_prediction,2025-02-20 11:59:36.032362,,4.0,over 50k,under 50k,,,,,,,,,
43295,participant_0058,intro-test,user_prediction,2025-02-20 11:59:37.442038,,7.0,over 50k,over 50k,2,,,,,,,,
43296,participant_0058,intro-test,handleNext,2025-02-20 11:59:37.969447,8.0,,,,,,,,,,,,
43297,participant_0006,teaching,question,2025-02-20 11:59:41.347590,,4.0,,,,,Which attributes have the <b>biggest</b> impact on the model’s prediction <b>for this person</b>?,top3Features,,,,,
43298,participant_0058,intro-test,user_prediction,2025-02-20 11:59:41.743449,,8.0,over 50k,under 50k,1,,,,,,,,
52104,participant_0034,final-test,handleNext,2025-02-20 15:58:53.941626,10.0,,,,,,,,,,,,
47093,participant_0102,teaching,question,2025-02-20 13:14:27.801643,,8.0,,,,,How <b>confident</b> is the model in the prediction <b>for this person</b>?,modelConfidence,,,,,
43299,participant_0058,intro-test,handleNext,2025-02-20 11:59:42.271881,9.0,,,,,,,,,,,,
43300,participant_0088,intro-test,user_prediction,2025-02-20 11:59:45.587249,,6.0,over 50k,over 50k,1,,,,,,,,
43301,participant_0088,intro-test,handleNext,2025-02-20 11:59:46.102757,7.0,,,,,,,,,,,,
43302,participant_0058,intro-test,user_prediction,2025-02-20 11:59:46.236637,,9.0,under 50k,over 50k,3,,,,,,,,
43303,participant_0058,intro-test,handleNext,2025-02-20 11:59:46.725340,10.0,,,,,,,,,,,,
43304,participant_0058,intro-test,user_prediction,2025-02-20 11:59:50.050855,,10.0,under 50k,under 50k,4,,,,,,,,
43305,participant_0058,teaching,handleNext,2025-02-20 11:59:50.093204,1.0,,,,,,,,,,,,
43306,participant_0088,intro-test,user_prediction,2025-02-20 11:59:53.139442,,7.0,over 50k,over 50k,2,,,,,,,,
43307,participant_0088,intro-test,handleNext,2025-02-20 11:59:53.659626,8.0,,,,,,,,,,,,
45147,participant_0017,final-test,handleNext,2025-02-20 12:32:15.695457,9.0,,,,,,,,,,,,
49640,participant_0100,test,user_prediction,2025-02-20 14:12:15.970461,,6.0,over 50k,under 50k,,,,,,,,,
43308,participant_0006,teaching,question,2025-02-20 11:59:55.741567,,4.0,,,,,What is the <b>strength</b> of each attribute for the <b>this model prediction</b>?,shapAllFeatures,,,,,
43309,participant_0088,intro-test,user_prediction,2025-02-20 12:00:00.281550,,8.0,under 50k,under 50k,2,,,,,,,,
43310,participant_0088,intro-test,handleNext,2025-02-20 12:00:00.797020,9.0,,,,,,,,,,,,
43311,participant_0069,teaching,question,2025-02-20 12:00:03.961706,,1.0,,,,,Which attributes have the <b>biggest</b> impact on the model’s prediction <b>for this person</b>?,top3Features,,,,,
43312,participant_0088,intro-test,user_prediction,2025-02-20 12:00:11.867345,,9.0,over 50k,over 50k,1,,,,,,,,
43313,participant_0088,intro-test,handleNext,2025-02-20 12:00:12.381008,10.0,,,,,,,,,,,,
43314,participant_0006,test,handleNext,2025-02-20 12:00:12.891894,4.0,,,,,,,,,,,,
43315,participant_0006,test,user_prediction,2025-02-20 12:00:16.892553,,4.0,over 50k,over 50k,,,,,,,,,
43316,participant_0006,teaching,handleNext,2025-02-20 12:00:17.010362,5.0,,,,,,,,,,,,
43317,participant_0069,teaching,question,2025-02-20 12:00:18.611435,,1.0,,,,,Why are these the most important attributes?,followupWhyThisFeatureImportant,,,,,
43318,participant_0088,intro-test,user_prediction,2025-02-20 12:00:19.883581,,10.0,under 50k,under 50k,1,,,,,,,,
43319,participant_0088,teaching,handleNext,2025-02-20 12:00:19.915888,1.0,,,,,,,,,,,,
43320,participant_0058,teaching,user_prediction,2025-02-20 12:00:20.545418,,1.0,under 50k,over 50k,,,,,,,,,
43321,participant_0006,teaching,user_prediction,2025-02-20 12:00:22.195220,,5.0,over 50k,over 50k,,,,,,,,,
43322,participant_0006,teaching,question,2025-02-20 12:00:24.559999,,5.0,,,,,What is the <b>strength</b> of each attribute for the <b>this model prediction</b>?,shapAllFeatures,,,,,
43323,participant_0115,intro-test,user_prediction,2025-02-20 12:00:26.258886,,2.0,over 50k,under 50k,1,,,,,,,,
43324,participant_0115,intro-test,handleNext,2025-02-20 12:00:26.863004,3.0,,,,,,,,,,,,
43325,participant_0058,teaching,question,2025-02-20 12:00:31.348700,,1.0,,,,,Which attributes have the <b>biggest</b> impact on the model’s prediction <b>for this person</b>?,top3Features,,,,,
43326,participant_0006,test,handleNext,2025-02-20 12:00:40.677201,5.0,,,,,,,,,,,,
43327,participant_0006,test,user_prediction,2025-02-20 12:00:45.965441,,5.0,over 50k,over 50k,,,,,,,,,
43328,participant_0006,teaching,handleNext,2025-02-20 12:00:46.082993,6.0,,,,,,,,,,,,
43329,participant_0115,intro-test,user_prediction,2025-02-20 12:00:47.371460,,3.0,under 50k,under 50k,2,,,,,,,,
43330,participant_0115,intro-test,handleNext,2025-02-20 12:00:48.016424,4.0,,,,,,,,,,,,
43331,participant_0006,teaching,user_prediction,2025-02-20 12:00:54.477188,,6.0,over 50k,over 50k,,,,,,,,,
43332,participant_0006,teaching,question,2025-02-20 12:00:56.644172,,6.0,,,,,What is the <b>strength</b> of each attribute for the <b>this model prediction</b>?,shapAllFeatures,,,,,
43333,participant_0058,teaching,question,2025-02-20 12:00:57.957244,,1.0,,,,,Which <b>group of attributes</b> is most important for <b>for this person</b>?,anchor,,,,,
43334,participant_0058,teaching,proceeding_stop,2025-02-20 12:01:02.643868,,1.0,,,,,,,"{'feedback': True, 'followup': None, 'id': '9056bde0-555b-435e-aeec-50e7d6b04791', 'isUser': False, 'reasoning': '', 'text': 'Already want to proceed? You could ask about the most or least important attribute,the influences of features or about which changes would lead to a different prediction...'}",,,,
43335,participant_0088,teaching,user_prediction,2025-02-20 12:01:04.090342,,1.0,under 50k,over 50k,,,,,,,,,
43336,participant_0058,test,handleNext,2025-02-20 12:01:06.138434,1.0,,,,,,,,,,,,
43337,participant_0050,intro-test,user_prediction,2025-02-20 12:01:06.217097,,1.0,over 50k,over 50k,2,,,,,,,,
43338,participant_0050,intro-test,handleNext,2025-02-20 12:01:06.755149,2.0,,,,,,,,,,,,
43339,participant_0088,teaching,question,2025-02-20 12:01:15.553803,,1.0,,,,,Which attributes have the <b>biggest</b> impact on the model’s prediction <b>for this person</b>?,top3Features,,,,,
43340,participant_0050,intro-test,user_prediction,2025-02-20 12:01:15.982644,,2.0,under 50k,under 50k,2,,,,,,,,
43341,participant_0050,intro-test,handleNext,2025-02-20 12:01:16.520110,3.0,,,,,,,,,,,,
43342,participant_0058,test,user_prediction,2025-02-20 12:01:19.669727,,1.0,over 50k,over 50k,,,,,,,,,
43343,participant_0058,teaching,handleNext,2025-02-20 12:01:19.748563,2.0,,,,,,,,,,,,
43344,participant_0115,intro-test,user_prediction,2025-02-20 12:01:21.487217,,4.0,under 50k,under 50k,1,,,,,,,,
43345,participant_0006,teaching,question,2025-02-20 12:01:21.965533,,6.0,,,,,How are the values of <b>Investment Outcome</b> <b>on average</b> associated with the model’s prediction?,globalPdp,,,,,
43346,participant_0115,intro-test,handleNext,2025-02-20 12:01:22.126456,5.0,,,,,,,,,,,,
43347,participant_0006,teaching,question,2025-02-20 12:01:24.292103,,6.0,,,,,How are the values of <b>Investment Outcome</b> <b>on average</b> associated with the model’s prediction?,globalPdp,,,,,
43348,participant_0050,intro-test,user_prediction,2025-02-20 12:01:25.612653,,3.0,over 50k,under 50k,2,,,,,,,,
43349,participant_0050,intro-test,handleNext,2025-02-20 12:01:26.153170,4.0,,,,,,,,,,,,
43350,participant_0058,teaching,user_prediction,2025-02-20 12:01:26.586650,,2.0,under 50k,under 50k,,,,,,,,,
43351,participant_0006,teaching,question,2025-02-20 12:01:26.672584,,6.0,,,,,How are the values of <b>Investment Outcome</b> <b>on average</b> associated with the model’s prediction?,globalPdp,,,,,
43352,participant_0088,teaching,question,2025-02-20 12:01:30.770169,,1.0,,,,,Which attributes have the <b>smallest</b> impact on the model’s prediction <b>for this person</b>?,least3Features,,,,,
43353,participant_0050,intro-test,user_prediction,2025-02-20 12:01:31.784455,,4.0,under 50k,under 50k,2,,,,,,,,
43354,participant_0050,intro-test,handleNext,2025-02-20 12:01:32.323520,5.0,,,,,,,,,,,,
43355,participant_0058,teaching,proceeding_stop,2025-02-20 12:01:33.704062,,2.0,,,,,,,"{'feedback': True, 'followup': None, 'id': 'b67dfad2-d472-467c-8bae-8a253f716122', 'isUser': False, 'reasoning': '', 'text': 'Already want to proceed? You could ask about the most or least important attribute,the influences of features or about which changes would lead to a different prediction...'}",,,,
43356,participant_0069,teaching,question,2025-02-20 12:01:35.104408,,1.0,,,,,Does the <b>prediction of the current person change</b> if only <b>Marital Status</b> was different?,ceterisParibus,,,,,
43357,participant_0058,test,handleNext,2025-02-20 12:01:35.612413,2.0,,,,,,,,,,,,
43358,participant_0058,test,user_prediction,2025-02-20 12:01:40.782005,,2.0,over 50k,over 50k,,,,,,,,,
43359,participant_0058,teaching,handleNext,2025-02-20 12:01:40.863988,3.0,,,,,,,,,,,,
44254,participant_0030,test,user_prediction,2025-02-20 12:19:59.756587,,9.0,over 50k,over 50k,,,,,,,,,
43360,participant_0088,teaching,proceeding_stop,2025-02-20 12:01:41.248516,,1.0,,,,,,,"{'feedback': True, 'followup': None, 'id': '015f4bbd-e07f-49ed-af84-415d1042b274', 'isUser': False, 'reasoning': '', 'text': 'Already want to proceed? You could ask about the most or least important attribute,the influences of features or about which changes would lead to a different prediction...'}",,,,
43361,participant_0050,intro-test,user_prediction,2025-02-20 12:01:43.009009,,5.0,under 50k,over 50k,2,,,,,,,,
43362,participant_0050,intro-test,handleNext,2025-02-20 12:01:43.548941,6.0,,,,,,,,,,,,
43363,participant_0058,teaching,user_prediction,2025-02-20 12:01:50.596771,,3.0,under 50k,under 50k,,,,,,,,,
43364,participant_0050,intro-test,user_prediction,2025-02-20 12:01:51.867391,,6.0,under 50k,over 50k,1,,,,,,,,
43365,participant_0050,intro-test,handleNext,2025-02-20 12:01:52.410511,7.0,,,,,,,,,,,,
43366,participant_0006,teaching,question,2025-02-20 12:01:53.907355,,6.0,,,,,Which <b>group of attributes</b> is most important for <b>for this person</b>?,anchor,,,,,
43367,participant_0088,teaching,question,2025-02-20 12:01:55.866382,,1.0,,,,,Which <b>group of attributes</b> is most important for <b>for this person</b>?,anchor,,,,,
43368,participant_0058,teaching,question,2025-02-20 12:01:58.053507,,3.0,,,,,What is the <b>strength</b> of each attribute for the <b>this model prediction</b>?,shapAllFeatures,,,,,
43369,participant_0115,intro-test,user_prediction,2025-02-20 12:01:58.868723,,5.0,over 50k,over 50k,2,,,,,,,,
43370,participant_0115,intro-test,handleNext,2025-02-20 12:01:59.544369,6.0,,,,,,,,,,,,
43371,participant_0006,test,handleNext,2025-02-20 12:02:02.407834,6.0,,,,,,,,,,,,
43372,participant_0050,intro-test,user_prediction,2025-02-20 12:02:02.764109,,7.0,over 50k,over 50k,2,,,,,,,,
43373,participant_0088,teaching,question,2025-02-20 12:02:03.241371,,1.0,,,,,How <b>confident</b> is the model in the prediction <b>for this person</b>?,modelConfidence,,,,,
43374,participant_0050,intro-test,handleNext,2025-02-20 12:02:03.302880,8.0,,,,,,,,,,,,
43375,participant_0006,test,user_prediction,2025-02-20 12:02:08.211313,,6.0,under 50k,under 50k,,,,,,,,,
43376,participant_0006,teaching,handleNext,2025-02-20 12:02:08.327653,7.0,,,,,,,,,,,,
43377,participant_0088,test,handleNext,2025-02-20 12:02:09.857760,1.0,,,,,,,,,,,,
43378,participant_0058,teaching,question,2025-02-20 12:02:10.473148,,3.0,,,,,Which <b>group of attributes</b> is most important for <b>for this person</b>?,anchor,,,,,
44494,participant_0073,teaching,user_prediction,2025-02-20 12:23:19.785991,,10.0,under 50k,under 50k,,,,,,,,,
