user_id,accuracy_1,accuracy_2,accuracy_3,accuracy_4,accuracy_5,accuracy_6,accuracy_7,accuracy_8,accuracy_9,accuracy_10
participant_0096,Correct,Wrong,Wrong,Correct,Correct,Correct,Correct,Correct,Wrong,Wrong
participant_0097,Correct,Correct,Wrong,Correct,Correct,Correct,Wrong,Correct,Correct,Correct
participant_0098,Correct,Correct,Wrong,Correct,Correct,Correct,Wrong,Correct,Correct,Correct
participant_0099,Correct,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,Correct
participant_0100,Correct,Wrong,Correct,Wrong,Correct,Wrong,Correct,Wrong,Correct,Wrong
participant_0101,Correct,Correct,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Correct
participant_0102,Wrong,Wrong,Correct,Correct,Correct,Correct,Wrong,Correct,Correct,Wrong
participant_0103,Correct,Correct,Wrong,Correct,Correct,Correct,Wrong,Correct,Correct,Correct
participant_0104,Wrong,Wrong,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Wrong
participant_0105,Correct,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,Correct
participant_0106,Correct,Correct,Wrong,Correct,Correct,Correct,Wrong,Correct,Correct,Correct
participant_0107,Correct,Correct,Correct,Correct,Correct,Correct,Wrong,Correct,Correct,Correct
participant_0108,Correct,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,Correct
participant_0109,Correct,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Wrong,Wrong
participant_0110,Wrong,Wrong,Wrong,Wrong,Correct,Correct,Correct,Wrong,Correct,Wrong
participant_0111,Correct,Correct,Correct,Wrong,Correct,Correct,Wrong,Correct,Correct,Correct
participant_0112,Correct,Wrong,Wrong,Wrong,Correct,Correct,Wrong,Correct,Correct,Wrong
participant_0113,Wrong,Correct,Correct,Correct,Correct,Correct,Wrong,Wrong,Wrong,Correct
participant_0114,Correct,Wrong,Correct,Wrong,Correct,Correct,Correct,Correct,Wrong,Correct
participant_0115,Correct,Wrong,Correct,Wrong,Correct,Correct,Correct,Correct,Wrong,Correct
participant_0116,Correct,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,Wrong
participant_0117,Correct,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,['Wrong' 'Correct']
participant_0118,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
