id,user_id,source,action,created_at,datapoint_count,question,question_id
7522,dbc46986-0448-48e4-a698-1117d86fa8cd,teaching,question,2024-04-11 09:57:49.316163,1, Which attributes have the <b>biggest</b> impact on the model’s prediction for the current person?,23
7553,dbc46986-0448-48e4-a698-1117d86fa8cd,teaching,question,2024-04-11 09:57:58.285883,1, Which attributes have the <b>smallest</b> impact on the model’s prediction for the current person?,27
7612,dbc46986-0448-48e4-a698-1117d86fa8cd,teaching,question,2024-04-11 09:58:16.512022,1," To <b>switch the model’s prediction</b>, which attributes would need to be different?",7
7587,dbc46986-0448-48e4-a698-1117d86fa8cd,teaching,question,2024-04-11 09:58:07.737260,1, What is the <b>strength</b> of each attribute for the current model prediction? ,24
8229,dbc46986-0448-48e4-a698-1117d86fa8cd,teaching,question,2024-04-11 10:00:53.240719,3," What happens if the <b>value</b> of Investment Outcome <b>is changed</b>, keeping all the other attributes the same?",25
8230,dbc46986-0448-48e4-a698-1117d86fa8cd,teaching,question,2024-04-11 10:00:53.267458,3," What happens if the <b>value</b> of Investment Outcome <b>is changed</b>, keeping all the other attributes the same?",25
1346,720bd337-3c25-4e20-9e78-187abec92efa,teaching,question,2024-04-11 09:23:59.416163,1, Which attributes have the <b>biggest</b> impact on the model’s prediction for the current person?,23
1398,720bd337-3c25-4e20-9e78-187abec92efa,teaching,question,2024-04-11 09:24:54.727478,1,Which group of attributes <b>most definitely predicts the current outcome</b> independently of the other attributes?,11
1441,720bd337-3c25-4e20-9e78-187abec92efa,teaching,question,2024-04-11 09:25:39.259841,2, Which attributes have the <b>biggest</b> impact on the model’s prediction for the current person?,23
1355,720bd337-3c25-4e20-9e78-187abec92efa,teaching,question,2024-04-11 09:24:10.382218,1, Which attributes have the <b>smallest</b> impact on the model’s prediction for the current person?,27
1367,720bd337-3c25-4e20-9e78-187abec92efa,teaching,question,2024-04-11 09:24:25.428566,1, What is the <b>strength</b> of each attribute for the current model prediction? ,24
1379,720bd337-3c25-4e20-9e78-187abec92efa,teaching,question,2024-04-11 09:24:31.063287,1," To <b>switch the model’s prediction</b>, which attributes would need to be different?",7
1500,720bd337-3c25-4e20-9e78-187abec92efa,teaching,question,2024-04-11 09:26:46.402997,3, Which attributes have the <b>biggest</b> impact on the model’s prediction for the current person?,23
1447,720bd337-3c25-4e20-9e78-187abec92efa,teaching,question,2024-04-11 09:25:45.752814,2, Which attributes have the <b>smallest</b> impact on the model’s prediction for the current person?,27
1224,0a8cc657-5d49-40b0-a161-3337688e5956,teaching,question,2024-04-11 09:19:56.529386,1," What happens if the <b>value</b> of Education Level <b>is changed</b>, keeping all the other attributes the same?",25
1226,0a8cc657-5d49-40b0-a161-3337688e5956,teaching,question,2024-04-11 09:20:06.523220,1, Which attributes have the <b>biggest</b> impact on the model’s prediction for the current person?,23
1241,0a8cc657-5d49-40b0-a161-3337688e5956,teaching,question,2024-04-11 09:21:15.460973,2," To <b>switch the model’s prediction</b>, which attributes would need to be different?",7
1225,0a8cc657-5d49-40b0-a161-3337688e5956,teaching,question,2024-04-11 09:19:59.359411,1," What happens if the <b>value</b> of Education Level <b>is changed</b>, keeping all the other attributes the same?",25
1227,0a8cc657-5d49-40b0-a161-3337688e5956,teaching,question,2024-04-11 09:20:18.345889,1, What is the <b>strength</b> of each attribute for the current model prediction? ,24
1236,0a8cc657-5d49-40b0-a161-3337688e5956,teaching,question,2024-04-11 09:21:04.205704,2, Which attributes have the <b>biggest</b> impact on the model’s prediction for the current person?,23
1264,0a8cc657-5d49-40b0-a161-3337688e5956,teaching,question,2024-04-11 09:21:59.210250,3," To <b>switch the model’s prediction</b>, which attributes would need to be different?",7
1295,0a8cc657-5d49-40b0-a161-3337688e5956,teaching,question,2024-04-11 09:22:38.839732,4," To <b>switch the model’s prediction</b>, which attributes would need to be different?",7
1325,0a8cc657-5d49-40b0-a161-3337688e5956,teaching,question,2024-04-11 09:23:27.145335,5," To <b>switch the model’s prediction</b>, which attributes would need to be different?",7
1340,0a8cc657-5d49-40b0-a161-3337688e5956,teaching,question,2024-04-11 09:23:52.405524,6," To <b>switch the model’s prediction</b>, which attributes would need to be different?",7
1385,0a8cc657-5d49-40b0-a161-3337688e5956,teaching,question,2024-04-11 09:24:38.489332,8," To <b>switch the model’s prediction</b>, which attributes would need to be different?",7
1363,0a8cc657-5d49-40b0-a161-3337688e5956,teaching,question,2024-04-11 09:24:18.121824,7," To <b>switch the model’s prediction</b>, which attributes would need to be different?",7
1399,0a8cc657-5d49-40b0-a161-3337688e5956,teaching,question,2024-04-11 09:24:55.956624,9," To <b>switch the model’s prediction</b>, which attributes would need to be different?",7
1419,0a8cc657-5d49-40b0-a161-3337688e5956,teaching,question,2024-04-11 09:25:16.706632,10," To <b>switch the model’s prediction</b>, which attributes would need to be different?",7
3536,27cd0c36-e896-4a2b-b7a3-8f114da43fd9,teaching,question,2024-04-11 09:44:53.977197,1, Which attributes have the <b>biggest</b> impact on the model’s prediction for the current person?,23
3610,27cd0c36-e896-4a2b-b7a3-8f114da43fd9,teaching,question,2024-04-11 09:45:11.936318,1, Which attributes have the <b>smallest</b> impact on the model’s prediction for the current person?,27
3654,27cd0c36-e896-4a2b-b7a3-8f114da43fd9,teaching,question,2024-04-11 09:45:22.301481,1," To <b>switch the model’s prediction</b>, which attributes would need to be different?",7
3734,27cd0c36-e896-4a2b-b7a3-8f114da43fd9,teaching,question,2024-04-11 09:45:40.716679,1," What happens if the <b>value</b> of Marital Status <b>is changed</b>, keeping all the other attributes the same?",25
5132,27cd0c36-e896-4a2b-b7a3-8f114da43fd9,teaching,question,2024-04-11 09:49:55.781774,5," To <b>switch the model’s prediction</b>, which attributes would need to be different?",7
5271,27cd0c36-e896-4a2b-b7a3-8f114da43fd9,teaching,question,2024-04-11 09:50:18.094740,6, Which attributes have the <b>biggest</b> impact on the model’s prediction for the current person?,23
4015,27cd0c36-e896-4a2b-b7a3-8f114da43fd9,teaching,question,2024-04-11 09:46:37.668709,2, What is the <b>strength</b> of each attribute for the current model prediction? ,24
3946,27cd0c36-e896-4a2b-b7a3-8f114da43fd9,teaching,question,2024-04-11 09:46:23.261575,2, Which attributes have the <b>biggest</b> impact on the model’s prediction for the current person?,23
4068,27cd0c36-e896-4a2b-b7a3-8f114da43fd9,teaching,question,2024-04-11 09:46:49.961811,2," What happens if the <b>value</b> of Marital Status <b>is changed</b>, keeping all the other attributes the same?",25
5290,27cd0c36-e896-4a2b-b7a3-8f114da43fd9,teaching,question,2024-04-11 09:50:22.918093,6," To <b>switch the model’s prediction</b>, which attributes would need to be different?",7
5460,27cd0c36-e896-4a2b-b7a3-8f114da43fd9,teaching,question,2024-04-11 09:50:51.989958,7," To <b>switch the model’s prediction</b>, which attributes would need to be different?",7
4355,27cd0c36-e896-4a2b-b7a3-8f114da43fd9,teaching,question,2024-04-11 09:47:49.664539,3," To <b>switch the model’s prediction</b>, which attributes would need to be different?",7
4322,27cd0c36-e896-4a2b-b7a3-8f114da43fd9,teaching,question,2024-04-11 09:47:40.927518,3,Which group of attributes <b>most definitely predicts the current outcome</b> independently of the other attributes?,11
4447,27cd0c36-e896-4a2b-b7a3-8f114da43fd9,teaching,question,2024-04-11 09:48:08.521775,3, Which attributes have the <b>smallest</b> impact on the model’s prediction for the current person?,27
4697,27cd0c36-e896-4a2b-b7a3-8f114da43fd9,teaching,question,2024-04-11 09:48:47.833518,4, Which attributes have the <b>biggest</b> impact on the model’s prediction for the current person?,23
4899,27cd0c36-e896-4a2b-b7a3-8f114da43fd9,teaching,question,2024-04-11 09:49:16.554617,4," What happens if the <b>value</b> of Marital Status <b>is changed</b>, keeping all the other attributes the same?",25
4955,27cd0c36-e896-4a2b-b7a3-8f114da43fd9,teaching,question,2024-04-11 09:49:26.168360,4," What happens if the <b>value</b> of Investment Outcome <b>is changed</b>, keeping all the other attributes the same?",25
4739,27cd0c36-e896-4a2b-b7a3-8f114da43fd9,teaching,question,2024-04-11 09:48:55.208426,4, What is the <b>strength</b> of each attribute for the current model prediction? ,24
4817,27cd0c36-e896-4a2b-b7a3-8f114da43fd9,teaching,question,2024-04-11 09:49:05.903522,4,Which group of attributes <b>most definitely predicts the current outcome</b> independently of the other attributes?,11
4938,27cd0c36-e896-4a2b-b7a3-8f114da43fd9,teaching,question,2024-04-11 09:49:22.740214,4," What happens if the <b>value</b> of Marital Status <b>is changed</b>, keeping all the other attributes the same?",25
5430,27cd0c36-e896-4a2b-b7a3-8f114da43fd9,teaching,question,2024-04-11 09:50:46.179616,7, What is the <b>strength</b> of each attribute for the current model prediction? ,24
5531,27cd0c36-e896-4a2b-b7a3-8f114da43fd9,teaching,question,2024-04-11 09:51:05.169523,7,Which group of attributes <b>most definitely predicts the current outcome</b> independently of the other attributes?,11
5646,27cd0c36-e896-4a2b-b7a3-8f114da43fd9,teaching,question,2024-04-11 09:51:23.597171,8, Which attributes have the <b>biggest</b> impact on the model’s prediction for the current person?,23
5100,27cd0c36-e896-4a2b-b7a3-8f114da43fd9,teaching,question,2024-04-11 09:49:51.327936,5, Which attributes have the <b>biggest</b> impact on the model’s prediction for the current person?,23
5691,27cd0c36-e896-4a2b-b7a3-8f114da43fd9,teaching,question,2024-04-11 09:51:29.322338,8, Which attributes have the <b>smallest</b> impact on the model’s prediction for the current person?,27
5829,27cd0c36-e896-4a2b-b7a3-8f114da43fd9,teaching,question,2024-04-11 09:51:56.617017,9, Which attributes have the <b>biggest</b> impact on the model’s prediction for the current person?,23
6123,27cd0c36-e896-4a2b-b7a3-8f114da43fd9,teaching,question,2024-04-11 09:52:49.406139,10,Which group of attributes <b>most definitely predicts the current outcome</b> independently of the other attributes?,11
6023,27cd0c36-e896-4a2b-b7a3-8f114da43fd9,teaching,question,2024-04-11 09:52:33.336437,9,Which group of attributes <b>most definitely predicts the current outcome</b> independently of the other attributes?,11
6148,27cd0c36-e896-4a2b-b7a3-8f114da43fd9,teaching,question,2024-04-11 09:52:53.629465,10," To <b>switch the model’s prediction</b>, which attributes would need to be different?",7
2142,4cc96efc-b412-4b00-932f-7c4d627cd3cf,teaching,question,2024-04-11 09:35:41.344988,1, Which attributes have the <b>smallest</b> impact on the model’s prediction for the current person?,27
2209,4cc96efc-b412-4b00-932f-7c4d627cd3cf,teaching,question,2024-04-11 09:36:41.089405,2, Which attributes have the <b>biggest</b> impact on the model’s prediction for the current person?,23
2227,4cc96efc-b412-4b00-932f-7c4d627cd3cf,teaching,question,2024-04-11 09:36:54.883340,2," What happens if the <b>value</b> of Education Level <b>is changed</b>, keeping all the other attributes the same?",25
2160,4cc96efc-b412-4b00-932f-7c4d627cd3cf,teaching,question,2024-04-11 09:35:57.261876,1," What happens if the <b>value</b> of Marital Status <b>is changed</b>, keeping all the other attributes the same?",25
2241,4cc96efc-b412-4b00-932f-7c4d627cd3cf,teaching,question,2024-04-11 09:37:07.287478,2," What happens if the <b>value</b> of Education Level <b>is changed</b>, keeping all the other attributes the same?",25
2249,4cc96efc-b412-4b00-932f-7c4d627cd3cf,teaching,question,2024-04-11 09:37:11.699545,2," What happens if the <b>value</b> of Investment Outcome <b>is changed</b>, keeping all the other attributes the same?",25
2134,4cc96efc-b412-4b00-932f-7c4d627cd3cf,teaching,question,2024-04-11 09:35:29.810370,1, Which attributes have the <b>biggest</b> impact on the model’s prediction for the current person?,23
2148,4cc96efc-b412-4b00-932f-7c4d627cd3cf,teaching,question,2024-04-11 09:35:46.705415,1, What is the <b>strength</b> of each attribute for the current model prediction? ,24
2161,4cc96efc-b412-4b00-932f-7c4d627cd3cf,teaching,question,2024-04-11 09:35:57.263376,1," What happens if the <b>value</b> of Marital Status <b>is changed</b>, keeping all the other attributes the same?",25
2167,4cc96efc-b412-4b00-932f-7c4d627cd3cf,teaching,question,2024-04-11 09:36:05.671299,1, How are the different values of Marital Status <b>distributed</b> in the dataset?,13
2228,4cc96efc-b412-4b00-932f-7c4d627cd3cf,teaching,question,2024-04-11 09:36:54.884886,2," What happens if the <b>value</b> of Education Level <b>is changed</b>, keeping all the other attributes the same?",25
2168,4cc96efc-b412-4b00-932f-7c4d627cd3cf,teaching,question,2024-04-11 09:36:05.672969,1, How are the different values of Marital Status <b>distributed</b> in the dataset?,13
2248,4cc96efc-b412-4b00-932f-7c4d627cd3cf,teaching,question,2024-04-11 09:37:11.698382,2," What happens if the <b>value</b> of Investment Outcome <b>is changed</b>, keeping all the other attributes the same?",25
2376,4cc96efc-b412-4b00-932f-7c4d627cd3cf,teaching,question,2024-04-11 09:38:21.453226,5," To <b>switch the model’s prediction</b>, which attributes would need to be different?",7
2333,4cc96efc-b412-4b00-932f-7c4d627cd3cf,teaching,question,2024-04-11 09:37:54.007359,4," To <b>switch the model’s prediction</b>, which attributes would need to be different?",7
2444,4cc96efc-b412-4b00-932f-7c4d627cd3cf,teaching,question,2024-04-11 09:38:56.257092,6,Which group of attributes <b>most definitely predicts the current outcome</b> independently of the other attributes?,11
2581,4cc96efc-b412-4b00-932f-7c4d627cd3cf,teaching,question,2024-04-11 09:39:58.283983,9, Which attributes have the <b>smallest</b> impact on the model’s prediction for the current person?,27
2516,4cc96efc-b412-4b00-932f-7c4d627cd3cf,teaching,question,2024-04-11 09:39:25.663257,7," To <b>switch the model’s prediction</b>, which attributes would need to be different?",7
2587,4cc96efc-b412-4b00-932f-7c4d627cd3cf,teaching,question,2024-04-11 09:40:01.746873,9," To <b>switch the model’s prediction</b>, which attributes would need to be different?",7
3743,cb294c20-7917-4652-93fa-26388a04cd02,teaching,question,2024-04-11 09:45:42.168251,1, Which attributes have the <b>biggest</b> impact on the model’s prediction for the current person?,23
5236,cb294c20-7917-4652-93fa-26388a04cd02,teaching,question,2024-04-11 09:50:12.287345,6," To <b>switch the model’s prediction</b>, which attributes would need to be different?",7
3795,cb294c20-7917-4652-93fa-26388a04cd02,teaching,question,2024-04-11 09:45:54.455851,1,Which group of attributes <b>most definitely predicts the current outcome</b> independently of the other attributes?,11
4071,cb294c20-7917-4652-93fa-26388a04cd02,teaching,question,2024-04-11 09:46:50.165872,2, What is the <b>strength</b> of each attribute for the current model prediction? ,24
4192,cb294c20-7917-4652-93fa-26388a04cd02,teaching,question,2024-04-11 09:47:12.180118,2," What happens if the <b>value</b> of Work Life Balance <b>is changed</b>, keeping all the other attributes the same?",25
4248,cb294c20-7917-4652-93fa-26388a04cd02,teaching,question,2024-04-11 09:47:24.478822,2, What is the <b>strength</b> of each attribute for the current model prediction? ,24
4196,cb294c20-7917-4652-93fa-26388a04cd02,teaching,question,2024-04-11 09:47:12.232104,2," What happens if the <b>value</b> of Work Life Balance <b>is changed</b>, keeping all the other attributes the same?",25
5474,cb294c20-7917-4652-93fa-26388a04cd02,teaching,question,2024-04-11 09:50:53.365507,7, How are the different values of Marital Status <b>distributed</b> in the dataset?,13
4555,cb294c20-7917-4652-93fa-26388a04cd02,teaching,question,2024-04-11 09:48:27.035250,3," To <b>switch the model’s prediction</b>, which attributes would need to be different?",7
4912,cb294c20-7917-4652-93fa-26388a04cd02,teaching,question,2024-04-11 09:49:18.643417,4, Which attributes have the <b>biggest</b> impact on the model’s prediction for the current person?,23
4872,cb294c20-7917-4652-93fa-26388a04cd02,teaching,question,2024-04-11 09:49:13.427344,4, Which attributes have the <b>smallest</b> impact on the model’s prediction for the current person?,27
5475,cb294c20-7917-4652-93fa-26388a04cd02,teaching,question,2024-04-11 09:50:53.413443,7, How are the different values of Marital Status <b>distributed</b> in the dataset?,13
5670,cb294c20-7917-4652-93fa-26388a04cd02,teaching,question,2024-04-11 09:51:25.827414,8, Which attributes have the <b>biggest</b> impact on the model’s prediction for the current person?,23
5643,cb294c20-7917-4652-93fa-26388a04cd02,teaching,question,2024-04-11 09:51:23.060539,8, Which attributes have the <b>smallest</b> impact on the model’s prediction for the current person?,27
5367,b93ad797-0965-4223-b0df-c710662e0b81,teaching,question,2024-04-11 09:50:37.077994,1,Which group of attributes <b>most definitely predicts the current outcome</b> independently of the other attributes?,11
5761,b93ad797-0965-4223-b0df-c710662e0b81,teaching,question,2024-04-11 09:51:46.292046,2, Which attributes have the <b>biggest</b> impact on the model’s prediction for the current person?,23
