user_id,accuracy_1,accuracy_2,accuracy_3,accuracy_4,accuracy_5,accuracy_6,accuracy_7,accuracy_8,accuracy_9,accuracy_10,accuracy_over_time
69a979ba-4f47-4ca9-8fa1-048ba9d870be,Correct,Correct,Correct,Correct,Correct,Wrong,Correct,Correct,Correct,Correct,9
703b674e-3466-4553-9ef5-e4ac4c1bfe2a,Correct,Wrong,Correct,Wrong,Wrong,Wrong,Correct,Correct,Correct,Correct,6
730c1b15-7b48-4409-9ea2-ef5467513fac,Wrong,Wrong,Correct,Wrong,Correct,Wrong,Correct,Wrong,Correct,Wrong,4
74433750-1f94-45ff-a50c-7a41bfbb702b,Correct,Wrong,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Wrong,7
7700577b-a278-40af-944d-053c97606bc6,Correct,Wrong,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Wrong,7
77fe9740-7e12-48a9-a5cb-22963abc633a,Correct,Correct,Wrong,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,8
7aeec119-17e8-4082-9808-e8f6e87207d1,Correct,Wrong,Wrong,Wrong,Correct,Correct,Correct,Wrong,Correct,Wrong,5
8aa1c6a1-b74a-4467-9c66-736494979c3a,Wrong,Wrong,Wrong,Correct,Wrong,Correct,Wrong,Correct,Wrong,Wrong,3
8d03a668-9509-4e2f-85ba-e4eaf2f41f26,Correct,Wrong,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,8
914ea0a1-c6f3-4d78-9adf-7a58672470bf,Correct,Wrong,Wrong,Correct,Correct,Correct,Wrong,Correct,Correct,Wrong,6
9520459e-c382-41a3-855f-61fc8eb8ec46,Correct,Wrong,Correct,Wrong,Correct,Wrong,Correct,Wrong,Wrong,Wrong,4
989393c8-ff8a-42c5-bfe4-2517725ba0b2,Wrong,Correct,Correct,Correct,Correct,Correct,Wrong,Wrong,Correct,Correct,7
9ce0bc00-a41d-4423-bb23-ee2678662b15,Correct,Wrong,Wrong,Correct,Wrong,Wrong,Correct,Correct,Correct,Wrong,5
9da5faf0-8e62-411f-b27c-67831cfcd120,Correct,Wrong,Correct,Wrong,Correct,Wrong,Correct,Wrong,Correct,Wrong,5
a104a2d2-8a7b-4e07-adc1-f09fdf14bd3b,Wrong,Wrong,Correct,Wrong,Wrong,Correct,Wrong,Wrong,Correct,Correct,4
a151f942-9345-4f8c-8ee1-201d909de75c,Correct,Correct,Wrong,Correct,Correct,Correct,Wrong,Correct,Correct,Correct,8
a6ee791a-a9c2-489f-9daa-4a2c85cf62d0,Correct,Correct,Wrong,Correct,Correct,Wrong,Correct,Correct,Wrong,Wrong,6
a7c4a036-a25c-4e61-b020-ff1a3099c99c,Wrong,Correct,Correct,Wrong,Wrong,Correct,Wrong,Wrong,Wrong,Wrong,3
b1bb9b9b-2711-4577-9b60-58eba31c7fbf,Correct,Wrong,Correct,Wrong,Correct,Wrong,Correct,Wrong,Correct,Wrong,5
b39c3dd4-ce18-47a5-92de-ef4b899bf0ab,Wrong,Wrong,Correct,Correct,Wrong,Correct,Wrong,Wrong,Wrong,Wrong,3
b45f290e-8c6d-40bc-a446-a0c512c8be8a,Correct,Wrong,Correct,Wrong,Correct,Wrong,Correct,Wrong,Correct,Correct,6
b6524d63-3648-488a-bfc3-8ff941d8a6e7,Correct,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,Correct,9
bb7600c4-a348-4440-8996-4b00992fcc8d,Correct,Correct,Wrong,Correct,Correct,Wrong,Correct,Correct,Correct,Correct,8
bce44e6d-01bd-4f00-89b9-48bd238297e5,Correct,Correct,Wrong,Wrong,Wrong,Wrong,Correct,Correct,Correct,Wrong,5
bd86dc3b-7425-4be9-be4e-293f11ed2377,Correct,Correct,Correct,Wrong,Correct,Wrong,Wrong,Correct,Correct,Correct,7
c6ca1d1c-b1b7-4585-a874-675e820d9d5f,Correct,Wrong,Correct,Wrong,Correct,Wrong,Correct,Correct,Correct,Correct,7
c6d86bef-c0c6-43d9-88c9-b0ca2fab569e,Correct,Correct,Wrong,Correct,Correct,Wrong,Correct,Correct,Correct,Correct,8
ca8f0939-547a-466c-8279-45e8d5b2cffc,Correct,Wrong,Correct,Wrong,Correct,Wrong,Correct,Correct,Correct,Wrong,6
cc1073f7-09bb-4257-b7b5-17db5b88249f,Correct,Wrong,Wrong,Correct,Correct,Wrong,Correct,Correct,Correct,Wrong,6
cc274ede-7ac8-409c-a975-5bca142060fa,Correct,Wrong,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Wrong,7
ccdf814b-689b-4725-93fc-fe338f478e20,Correct,Correct,Wrong,Correct,Correct,Wrong,Wrong,Correct,Correct,Wrong,6
d15b9d3d-28f6-44c6-86eb-e846bb5458a1,Correct,Wrong,Correct,Wrong,Correct,Correct,Wrong,Wrong,Correct,Wrong,5
d1bc3dfb-73ec-4f56-bda1-72ade8489a05,Correct,Correct,Wrong,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,8
d531bb5a-25d9-4018-93f6-7022b9b99c55,Correct,Correct,Wrong,Correct,Correct,Correct,Wrong,Correct,Correct,Correct,8
d53ca397-b3a8-4149-ab04-02f66e20a39d,Correct,Wrong,Correct,Wrong,Correct,Wrong,Correct,Correct,Correct,Wrong,6
db8b34e1-7c18-476d-b2d7-7d0dddb91cb7,Correct,Wrong,Correct,Correct,Correct,Wrong,Wrong,Correct,Correct,Wrong,6
dca910b0-6c61-4b71-b0a9-bf2ffb4e70a1,Correct,Wrong,Correct,Wrong,Wrong,Correct,Correct,Correct,Correct,Wrong,6
e0b643ee-faae-485d-b349-4b9533cde89b,Wrong,Wrong,Correct,Wrong,Correct,Correct,Wrong,Wrong,Correct,Correct,5
e3d50b9f-6c4b-4b8e-bc52-e8084c3d6182,Correct,Correct,Correct,Correct,Correct,Correct,Wrong,Correct,Correct,Correct,9
e5f131a0-cb0a-4c70-b413-d9df24fa16af,Wrong,Wrong,Correct,Wrong,Correct,Correct,Correct,Wrong,Correct,Wrong,5
e677ffa0-f31e-42b6-9941-18f4fda70789,Correct,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,Correct,9
e6b4c703-d69a-4f21-9b23-2f2c093685de,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Wrong,Correct,Wrong,7
e944fa02-3fb2-4447-8401-aa708b226955,Correct,Correct,Wrong,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,8
ea810f23-512c-4b3a-9448-f9d7d0f8a4f3,Correct,Correct,Wrong,Correct,Correct,Wrong,Correct,Correct,Correct,Correct,8
ec41f8db-1834-496d-9948-10c0e1fd2304,Correct,Wrong,Wrong,Wrong,Correct,Correct,Correct,Correct,Correct,Wrong,6
ecd9c9c8-83d9-49a8-b918-e8cd6d163808,Correct,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,Correct,9
ed83e6db-2afe-4fb9-b8d7-89eb9f65f4b2,Correct,Correct,Wrong,Correct,Correct,Correct,Wrong,Wrong,Correct,Correct,7
edb2deca-eb99-4fb1-87f8-a1a44fa9e503,Correct,Correct,Wrong,Correct,Correct,Correct,Wrong,Correct,Correct,Correct,8
ef3bb14e-b228-4ff0-b8ab-c158b445227c,Correct,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,Correct,9
f0dc01ec-fcdf-4658-ac59-ec4dd51a1782,Correct,Wrong,Wrong,Wrong,Correct,Correct,Correct,Correct,Correct,Wrong,6
f5f77764-3c9e-4201-9ab9-51cd5522ae4c,Correct,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,Correct,9
ffd5071d-f4bb-4f74-addd-69bd8c27799b,Correct,Correct,Correct,Wrong,Correct,Correct,Correct,Wrong,Correct,Correct,8
ffe81634-4946-417a-bd17-dd6b85fa923e,Correct,Wrong,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Wrong,7
